epoch,train_loss,val_loss
1,40.5175,41.7253
2,40.3903,40.2038
3,39.9620,40.5790
4,39.6407,40.4571
5,39.4212,40.3706
6,39.3561,40.3283
7,39.2479,40.2380
8,39.1832,40.2343
9,39.0311,39.9907
10,38.9875,40.1120
11,38.8760,39.9595
12,38.8639,39.8333
13,38.7299,39.9514
14,38.7076,39.8699
15,38.5790,39.9940
16,38.5471,40.0162
17,38.4619,39.9413
18,38.4258,39.8605
19,38.3786,39.9022
20,38.2011,39.8631
21,38.1426,40.1784
22,38.1342,40.3307
23,38.1007,40.1059
24,37.9827,40.1305
25,37.9529,39.9744
26,38.0118,40.2624
27,37.9270,40.2454
28,37.8529,40.1392
29,37.8074,40.0016
30,37.7555,40.0212
31,37.6216,40.4060
32,37.6367,40.1485
33,37.4918,40.3497
34,37.6572,40.1893
35,37.4794,40.1781
36,37.3766,40.4306
37,37.4908,39.9860
38,37.2939,40.1316
39,37.4474,40.3313
40,37.0766,40.2123
41,37.1680,40.0830
42,37.1566,40.5588
43,37.0761,40.5306
44,37.1692,40.5921
45,36.9373,40.2660
46,36.8645,40.5138
47,36.9869,40.0780
48,36.9312,40.3795
49,36.7750,40.3595
50,36.6324,40.4926
51,36.7555,40.5475
52,36.7165,40.4675
53,36.4868,40.3917
54,36.4873,40.2329
55,36.5692,40.2456
56,36.4042,40.4033
57,36.2978,40.5978
58,36.3858,40.4332
59,36.1358,40.5273
60,36.1757,40.5083
61,36.2824,40.1355
62,36.0638,40.3575
