epoch,train_loss,val_loss
1,39.8698,40.1517
2,39.6134,40.0735
3,39.4515,40.0227
4,39.3236,39.9861
5,39.2207,39.8569
6,39.1343,39.7872
7,39.0999,39.8318
8,39.0625,39.7457
9,39.0071,39.7672
10,38.9025,39.6396
11,38.8958,39.7116
12,38.8138,39.7026
13,38.8257,39.7060
14,38.6957,39.7089
15,38.7063,39.7965
16,38.6369,39.7537
17,38.7041,39.7913
18,38.7112,39.6956
19,38.4740,39.6935
20,38.5556,39.6535
21,38.3908,39.7977
22,38.5038,39.6608
23,38.4359,39.7351
24,38.3803,39.7589
25,38.2975,39.8802
26,38.2820,39.8512
27,38.2446,39.9756
28,38.1345,39.8617
29,38.2924,39.7327
30,38.2855,39.6461
31,38.2098,39.7585
32,38.0584,39.7683
33,38.1028,39.8564
34,38.0199,39.7870
35,38.0259,39.9734
36,37.8764,39.9221
37,38.1236,39.9416
38,37.8858,39.7021
39,37.9572,39.8150
40,37.9741,39.9138
41,37.9441,40.0700
42,37.9694,40.0657
43,37.8001,39.8282
44,37.7094,40.0046
45,37.7992,40.0816
46,37.6960,40.1122
47,37.7966,40.0117
48,37.7625,39.8856
49,37.6773,40.0145
50,37.7579,40.0767
51,37.4945,40.3040
52,37.4421,40.0023
53,37.5266,40.0034
54,37.3962,40.0178
55,37.6683,40.1605
56,37.5129,39.8796
57,37.4213,39.8979
58,37.4569,40.2039
59,37.3867,40.1430
60,37.3821,39.8707
