epoch,train_loss,val_loss
1,0.0939,0.0903
2,0.0705,0.0892
3,0.0702,0.0892
4,0.0701,0.0892
5,0.0701,0.0892
6,0.0701,0.0892
7,0.0701,0.0892
8,0.0701,0.0892
9,0.0701,0.0892
10,0.0701,0.0892
11,0.0701,0.0892
12,0.0701,0.0892
13,0.0701,0.0892
14,0.0701,0.0892
15,0.0701,0.0892
16,0.0701,0.0892
17,0.0701,0.0892
18,0.0701,0.0892
19,0.0701,0.0892
20,0.0701,0.0892
21,0.0701,0.0892
22,0.0701,0.0892
23,0.0701,0.0892
24,0.0701,0.0892
25,0.0701,0.0892
26,0.0701,0.0892
27,0.0701,0.0892
28,0.0701,0.0892
29,0.0701,0.0892
30,0.0701,0.0892
31,0.0701,0.0892
32,0.0701,0.0892
33,0.0701,0.0892
34,0.0701,0.0892
35,0.0701,0.0892
36,0.0701,0.0892
37,0.0701,0.0892
38,0.0701,0.0892
39,0.0701,0.0892
40,0.0701,0.0892
41,0.0701,0.0892
42,0.0701,0.0892
43,0.0701,0.0892
44,0.0701,0.0892
45,0.0701,0.0892
46,0.0701,0.0892
47,0.0701,0.0892
48,0.0701,0.0892
49,0.0701,0.0892
50,0.0701,0.0892
51,0.0701,0.0892
52,0.0701,0.0892
53,0.0701,0.0892
54,0.0701,0.0892
55,0.0701,0.0892
56,0.0701,0.0892
57,0.0701,0.0892
58,0.0701,0.0892
59,0.0701,0.0892
60,0.0701,0.0892
61,0.0701,0.0892
62,0.0701,0.0892
63,0.0701,0.0892
64,0.0701,0.0892
65,0.0701,0.0892
66,0.0701,0.0892
67,0.0701,0.0892
68,0.0701,0.0892
69,0.0701,0.0892
70,0.0701,0.0892
71,0.0701,0.0892
72,0.0701,0.0892
73,0.0701,0.0892
74,0.0701,0.0892
75,0.0701,0.0892
76,0.0698,0.0890
77,0.0691,0.0875
78,0.0666,0.0790
79,0.0630,0.0767
80,0.0621,0.0761
81,0.0627,0.0807
82,0.0609,0.0744
83,0.0601,0.0759
84,0.0592,0.0720
85,0.0563,0.0745
86,0.0564,0.0719
87,0.0558,0.0712
88,0.0565,0.0710
89,0.0532,0.0690
90,0.0537,0.0708
91,0.0529,0.0704
92,0.0518,0.0676
93,0.0527,0.0705
94,0.0523,0.0694
95,0.0520,0.0688
96,0.0522,0.0698
97,0.0525,0.0690
98,0.0510,0.0692
99,0.0514,0.0691
100,0.0509,0.0673
101,0.0513,0.0689
102,0.0511,0.0684
103,0.0511,0.0679
104,0.0500,0.0666
105,0.0499,0.0677
106,0.0491,0.0656
107,0.0510,0.0692
108,0.0506,0.0675
109,0.0497,0.0670
110,0.0494,0.0659
111,0.0512,0.0664
112,0.0503,0.0650
113,0.0502,0.0647
114,0.0508,0.0690
115,0.0491,0.0645
116,0.0495,0.0647
117,0.0492,0.0647
118,0.0490,0.0648
119,0.0484,0.0650
120,0.0484,0.0634
121,0.0483,0.0672
122,0.0486,0.0640
123,0.0482,0.0636
124,0.0460,0.0637
125,0.0483,0.0665
126,0.0467,0.0638
127,0.0479,0.0674
128,0.0472,0.0636
129,0.0474,0.0620
130,0.0474,0.0634
131,0.0465,0.0650
132,0.0480,0.0635
133,0.0467,0.0641
134,0.0470,0.0644
135,0.0460,0.0622
136,0.0456,0.0643
137,0.0467,0.0611
138,0.0483,0.0651
139,0.0464,0.0622
140,0.0462,0.0627
141,0.0458,0.0621
142,0.0459,0.0628
143,0.0462,0.0619
144,0.0446,0.0629
145,0.0439,0.0626
146,0.0462,0.0626
147,0.0455,0.0620
148,0.0455,0.0632
149,0.0446,0.0622
150,0.0432,0.0622
151,0.0462,0.0632
152,0.0457,0.0623
153,0.0453,0.0649
154,0.0468,0.0637
155,0.0454,0.0620
156,0.0460,0.0649
157,0.0452,0.0617
158,0.0442,0.0630
159,0.0434,0.0636
160,0.0440,0.0629
161,0.0447,0.0632
162,0.0455,0.0631
163,0.0438,0.0628
164,0.0438,0.0635
165,0.0440,0.0629
166,0.0421,0.0637
167,0.0435,0.0626
168,0.0448,0.0632
169,0.0444,0.0633
170,0.0441,0.0632
171,0.0434,0.0640
172,0.0437,0.0637
173,0.0438,0.0628
174,0.0433,0.0639
175,0.0422,0.0642
176,0.0429,0.0634
177,0.0431,0.0639
178,0.0422,0.0637
179,0.0432,0.0628
180,0.0420,0.0633
181,0.0427,0.0628
182,0.0420,0.0638
183,0.0425,0.0634
184,0.0436,0.0626
185,0.0416,0.0639
186,0.0422,0.0643
187,0.0437,0.0636
