epoch,train_loss,val_loss
1,0.1113,0.0788
2,0.0741,0.0774
3,0.0736,0.0773
4,0.0735,0.0773
5,0.0735,0.0773
6,0.0735,0.0773
7,0.0735,0.0773
8,0.0735,0.0773
9,0.0735,0.0773
10,0.0735,0.0773
11,0.0735,0.0773
12,0.0735,0.0773
13,0.0735,0.0773
14,0.0735,0.0773
15,0.0735,0.0773
16,0.0735,0.0773
17,0.0735,0.0773
18,0.0735,0.0773
19,0.0735,0.0773
20,0.0735,0.0773
21,0.0735,0.0773
22,0.0735,0.0773
23,0.0735,0.0773
24,0.0735,0.0773
25,0.0735,0.0773
26,0.0735,0.0773
27,0.0735,0.0773
28,0.0735,0.0773
29,0.0735,0.0773
30,0.0735,0.0773
31,0.0735,0.0773
32,0.0735,0.0773
33,0.0735,0.0773
34,0.0735,0.0773
35,0.0735,0.0773
36,0.0735,0.0773
37,0.0735,0.0773
38,0.0735,0.0773
39,0.0735,0.0773
40,0.0735,0.0773
41,0.0735,0.0773
42,0.0735,0.0773
43,0.0735,0.0773
44,0.0735,0.0773
45,0.0735,0.0773
46,0.0735,0.0773
47,0.0735,0.0773
48,0.0735,0.0773
49,0.0735,0.0773
50,0.0735,0.0773
51,0.0735,0.0773
52,0.0735,0.0773
53,0.0735,0.0773
54,0.0735,0.0773
55,0.0735,0.0773
56,0.0735,0.0773
57,0.0735,0.0773
58,0.0735,0.0773
59,0.0735,0.0773
60,0.0735,0.0773
61,0.0735,0.0773
62,0.0735,0.0773
63,0.0735,0.0773
64,0.0735,0.0773
65,0.0735,0.0773
66,0.0735,0.0773
67,0.0735,0.0773
68,0.0735,0.0773
69,0.0735,0.0773
70,0.0735,0.0773
71,0.0735,0.0773
72,0.0735,0.0773
73,0.0735,0.0773
74,0.0735,0.0773
75,0.0735,0.0773
76,0.0735,0.0773
77,0.0735,0.0773
78,0.0735,0.0773
79,0.0735,0.0773
80,0.0735,0.0773
81,0.0735,0.0773
82,0.0735,0.0773
83,0.0735,0.0773
84,0.0735,0.0773
85,0.0735,0.0773
86,0.0735,0.0773
87,0.0735,0.0773
88,0.0735,0.0773
89,0.0735,0.0773
90,0.0735,0.0773
91,0.0735,0.0773
92,0.0735,0.0773
93,0.0735,0.0773
94,0.0735,0.0773
95,0.0735,0.0773
96,0.0735,0.0773
97,0.0735,0.0773
98,0.0735,0.0773
99,0.0735,0.0773
100,0.0735,0.0773
101,0.0735,0.0773
102,0.0735,0.0773
103,0.0735,0.0773
104,0.0735,0.0773
105,0.0735,0.0773
106,0.0735,0.0773
107,0.0735,0.0773
108,0.0735,0.0773
109,0.0735,0.0773
110,0.0735,0.0773
111,0.0735,0.0773
112,0.0735,0.0773
113,0.0735,0.0773
114,0.0735,0.0773
115,0.0735,0.0773
116,0.0735,0.0773
117,0.0735,0.0773
118,0.0735,0.0773
119,0.0735,0.0773
120,0.0735,0.0773
121,0.0735,0.0773
122,0.0735,0.0773
123,0.0735,0.0773
124,0.0735,0.0773
125,0.0735,0.0773
126,0.0735,0.0773
127,0.0735,0.0773
128,0.0735,0.0773
129,0.0735,0.0773
130,0.0735,0.0773
131,0.0735,0.0773
132,0.0735,0.0773
133,0.0735,0.0773
134,0.0735,0.0773
135,0.0735,0.0773
136,0.0735,0.0773
137,0.0735,0.0773
138,0.0735,0.0773
139,0.0735,0.0773
140,0.0735,0.0773
141,0.0735,0.0773
142,0.0735,0.0773
143,0.0735,0.0773
144,0.0735,0.0773
145,0.0735,0.0773
146,0.0735,0.0773
147,0.0735,0.0773
148,0.0735,0.0773
149,0.0735,0.0773
150,0.0735,0.0773
151,0.0735,0.0773
152,0.0735,0.0773
153,0.0735,0.0773
154,0.0735,0.0773
155,0.0735,0.0773
156,0.0735,0.0773
157,0.0735,0.0773
158,0.0735,0.0773
159,0.0735,0.0773
160,0.0735,0.0773
161,0.0735,0.0773
162,0.0735,0.0773
163,0.0735,0.0773
164,0.0735,0.0773
165,0.0735,0.0773
166,0.0735,0.0773
167,0.0735,0.0773
168,0.0735,0.0773
169,0.0735,0.0773
170,0.0735,0.0773
171,0.0735,0.0773
172,0.0735,0.0773
173,0.0735,0.0773
174,0.0735,0.0773
175,0.0735,0.0773
176,0.0735,0.0773
177,0.0735,0.0773
178,0.0735,0.0773
179,0.0735,0.0773
180,0.0735,0.0773
181,0.0735,0.0773
182,0.0735,0.0773
183,0.0735,0.0773
184,0.0735,0.0773
185,0.0735,0.0773
186,0.0735,0.0773
187,0.0735,0.0773
188,0.0735,0.0773
189,0.0735,0.0773
190,0.0735,0.0773
191,0.0735,0.0773
192,0.0735,0.0773
193,0.0735,0.0773
194,0.0735,0.0773
195,0.0735,0.0773
196,0.0735,0.0773
197,0.0735,0.0773
198,0.0735,0.0773
199,0.0735,0.0773
200,0.0735,0.0773
201,0.0735,0.0773
202,0.0735,0.0773
203,0.0735,0.0773
204,0.0735,0.0773
205,0.0735,0.0773
206,0.0735,0.0773
207,0.0735,0.0773
208,0.0735,0.0773
209,0.0735,0.0773
210,0.0735,0.0773
211,0.0735,0.0773
212,0.0735,0.0773
213,0.0735,0.0773
214,0.0735,0.0773
215,0.0735,0.0773
216,0.0735,0.0773
217,0.0735,0.0773
218,0.0735,0.0773
219,0.0735,0.0773
220,0.0735,0.0773
221,0.0735,0.0773
222,0.0735,0.0773
223,0.0735,0.0773
224,0.0735,0.0773
