epoch,train_loss,val_loss
1,39.9097,40.2554
2,39.6771,40.1746
3,39.5674,40.1086
4,39.5237,40.0797
5,39.4425,40.0493
6,39.4136,39.9914
7,39.2878,39.9591
8,39.2924,39.9143
9,39.2007,39.8545
10,39.1483,39.8978
11,39.1039,39.8805
12,39.0489,39.9182
13,39.0346,39.8456
14,38.9784,39.8343
15,38.9749,39.8397
16,38.9988,39.7912
17,38.9102,39.7739
18,38.8472,39.8027
19,38.8079,39.7905
20,38.8455,39.8569
21,38.7294,39.7599
22,38.7681,39.7739
23,38.7273,39.7779
24,38.7462,39.8265
25,38.7087,39.7682
26,38.6430,39.8171
27,38.5806,39.7894
28,38.5336,39.9222
29,38.5691,39.7701
30,38.5492,39.7407
31,38.4813,39.7728
32,38.4072,39.8027
33,38.4590,39.7649
34,38.4010,39.8151
35,38.4894,39.7423
36,38.3215,39.6825
37,38.2934,39.7331
38,38.4183,39.7073
39,38.4270,39.7428
40,38.2797,39.6987
41,38.3003,39.6694
42,38.2809,39.7198
43,38.2527,39.7087
44,38.1927,39.6654
45,38.1948,39.6927
46,38.0911,39.6319
47,38.0825,39.6755
48,38.0129,39.6099
49,38.1136,39.6241
50,38.0943,39.7255
51,38.0638,39.7466
52,38.0687,39.7664
53,38.0234,39.7273
54,37.9282,39.6265
55,37.9173,39.6414
56,38.0428,39.5971
57,37.8466,39.6321
58,37.8246,39.7611
59,37.9072,39.6872
60,37.9045,39.6632
61,37.7649,39.6975
62,37.7359,39.7150
63,37.6656,39.7303
64,37.5425,39.6783
65,37.7959,39.6806
66,37.7088,39.6999
67,37.7569,39.7165
68,37.7596,39.7727
69,37.6592,39.6717
70,37.6447,39.6052
71,37.6394,39.5877
72,37.5081,39.6235
73,37.4879,39.6998
74,37.4498,39.7138
75,37.3537,39.7396
76,37.4812,39.7554
77,37.5692,39.6725
78,37.5073,39.6006
79,37.3966,39.6509
80,37.4577,39.7812
81,37.4305,39.6855
82,37.4081,39.6634
83,37.2971,39.7169
84,37.4889,39.7512
85,37.2205,39.7031
86,37.3816,39.7400
87,37.2977,39.5713
88,37.1452,39.7100
89,37.1677,39.6626
90,37.1273,39.5310
91,37.1337,39.5756
92,37.1554,39.5904
93,37.2950,39.6997
94,37.1097,39.5958
95,37.1415,39.5716
96,37.0565,39.6174
97,36.9051,39.7093
98,37.0057,39.6583
99,36.9411,39.5181
100,36.9764,39.5700
101,36.9223,39.5383
102,36.9668,39.5307
103,36.9787,39.6390
104,37.0093,39.6639
105,36.7743,39.5030
106,36.7968,39.6800
107,36.8606,39.7499
108,36.7225,39.5709
109,36.9524,39.5646
110,36.7971,39.5637
111,36.8939,39.5617
112,36.7370,39.6260
113,36.8708,39.5010
114,36.6142,39.4891
115,36.8217,39.6894
116,36.5993,39.6071
117,36.7518,39.5929
118,36.6759,39.6210
119,36.7751,39.6503
120,36.5076,39.6962
121,36.8453,39.6299
122,36.7768,39.7377
123,36.7462,39.5811
124,36.5138,39.8376
125,36.8288,39.5065
126,36.6757,39.5297
127,36.5865,39.5878
128,36.4355,39.5193
129,36.6097,39.4844
130,36.6891,39.6024
131,36.3898,39.5455
132,36.5057,39.7083
133,36.3598,39.5952
134,36.5907,39.4740
135,36.4897,39.5231
136,36.3692,39.5131
137,36.3718,39.6779
138,36.2953,39.5698
139,36.2955,39.6105
140,36.2638,39.5760
141,36.2171,39.5783
142,36.3561,39.6571
143,36.2122,39.7148
144,36.2743,39.5819
145,36.3287,39.7770
146,36.3522,39.4849
147,36.2317,39.5118
148,36.0804,39.5819
149,36.2179,39.5530
150,36.4384,39.7495
151,36.1211,39.7476
152,36.2744,39.6282
153,36.3065,39.4904
154,35.9174,39.5413
155,36.0774,39.4643
156,36.1686,39.6537
157,36.1513,39.5391
158,35.9183,39.5952
159,36.1770,39.4215
160,36.0723,39.6261
161,36.2193,39.5413
162,35.9155,39.4608
163,35.8938,39.3850
164,36.0085,39.4027
165,36.0983,39.7611
166,36.0060,39.7186
167,36.0385,39.6456
168,36.1574,39.5071
169,36.2288,39.7188
170,35.8503,39.7842
171,36.0024,39.6428
172,36.0059,39.6672
173,35.9382,39.5446
174,36.1136,39.5748
175,35.5909,39.5943
176,35.9059,39.8226
177,35.6903,39.6093
178,35.7587,39.6954
179,35.8158,39.6576
180,35.8259,39.5446
181,35.7467,39.5552
182,35.6132,39.6626
183,35.8204,39.4905
184,35.3736,39.6601
185,35.7231,39.4909
186,35.8648,39.6383
187,35.6707,39.8026
188,35.5430,39.6488
189,35.4925,39.7651
190,35.7655,39.4634
191,35.7705,39.5894
192,35.7656,39.6402
193,35.7058,39.7534
194,35.4576,39.5187
195,35.5489,39.5541
196,35.6692,39.5776
197,35.4405,39.7074
198,35.3926,39.6063
199,35.2850,39.5418
200,35.2968,39.4922
201,35.5672,39.4465
202,35.4305,39.8039
203,35.3310,39.5738
204,35.4608,39.6891
205,35.2356,39.6172
206,35.5163,39.5882
207,35.3293,39.7981
208,35.5150,39.7555
209,35.4995,39.6518
210,35.2392,39.7583
211,35.4124,39.7239
212,35.4656,39.5848
213,35.5463,39.5349
