epoch,train_loss,val_loss
1,40.2909,40.6857
2,40.0635,40.4515
3,39.9970,40.2904
4,39.8553,40.2371
5,39.7968,40.1753
6,39.7204,40.1344
7,39.7235,40.1134
8,39.7075,40.1211
9,39.6977,40.1181
10,39.6782,40.1055
11,39.6981,40.1244
12,39.6939,40.1093
13,39.6803,40.1308
14,39.6701,40.0996
15,39.5903,40.1570
16,39.6214,40.1137
17,39.5823,40.0828
18,39.6330,40.0934
19,39.6800,40.1073
20,39.6248,40.0734
21,39.7451,40.0751
22,39.6879,40.1157
23,39.7080,40.0772
24,39.7507,40.2135
25,39.7369,40.0498
26,39.6821,40.0555
27,39.7779,40.1424
28,39.7646,40.1116
29,39.7006,40.1041
30,39.6305,40.1172
31,39.7761,40.1106
32,39.6837,40.1243
33,39.7108,40.1548
34,39.7789,40.2099
35,39.6151,40.1022
36,39.6680,40.0947
37,39.7328,40.2748
38,39.7406,40.2629
39,39.7187,40.2364
40,39.7518,40.1307
41,39.7009,40.0943
42,39.6983,40.1078
43,39.6692,40.0948
44,39.7628,40.1800
45,39.7641,40.0990
46,39.7141,40.1288
47,39.8029,40.2620
48,39.7547,40.1634
49,39.6615,40.2791
50,39.7882,40.1627
51,39.7116,40.0611
52,39.7141,40.1006
53,39.6848,40.1686
54,39.7058,40.2820
55,39.7738,40.1549
56,39.7818,40.2546
57,39.6386,40.0852
58,39.7243,40.1684
59,39.7435,40.2106
60,39.7347,40.2993
61,39.7340,40.2768
62,39.7158,40.2093
63,39.7025,40.2794
64,39.7796,40.2753
65,39.7574,40.2801
66,39.7627,40.2030
67,39.8141,40.2203
68,39.6715,40.1165
69,39.6052,40.1114
70,39.6720,40.1150
71,39.7716,40.0740
72,39.7830,40.0842
73,39.7916,40.0749
74,39.7594,40.0860
75,39.7333,40.2133
