epoch,train_loss,val_loss
1,40.4202,40.3324
2,40.1958,39.9554
3,40.0298,39.8414
4,40.0095,40.2004
5,39.9010,39.6883
6,39.8805,40.0867
7,39.8645,39.5938
8,39.8379,39.5668
9,39.8383,39.5177
10,39.7968,40.1270
11,39.7299,39.4578
12,39.7543,39.4552
13,39.7859,39.5877
14,39.7644,39.4829
15,39.7413,39.4321
16,39.7421,39.4412
17,39.7650,39.4513
18,39.7291,39.3920
19,39.8424,39.5150
20,39.7398,39.3920
21,39.7351,39.3181
22,39.7399,39.3905
23,39.7404,39.3174
24,39.7670,39.4484
25,39.7270,39.4210
26,39.7381,39.2845
27,39.7420,39.3071
28,39.8246,39.2844
29,39.9284,39.3168
30,39.7480,39.2876
31,39.7108,39.3478
32,39.8249,39.3022
33,39.7698,39.4554
34,39.7668,39.3644
35,39.8194,39.3540
36,39.7751,39.4017
37,39.8766,39.5314
38,39.8068,39.2517
39,39.8267,39.2610
40,39.8582,39.3819
41,39.8399,39.3978
42,39.7849,39.4969
43,39.8773,39.3844
44,39.8168,39.3545
45,39.9827,39.4422
46,39.8308,39.3565
47,39.9178,39.5432
48,39.8738,39.5164
49,39.8205,39.5367
50,39.8854,39.5450
51,39.9045,39.4426
52,39.8626,39.5679
53,39.8242,39.3816
54,39.8469,39.9123
55,39.9780,40.8459
56,39.9051,39.4682
57,39.9497,39.6054
58,39.8623,40.3496
59,39.9364,39.5749
60,39.8531,39.7218
61,39.9531,39.5749
62,39.8939,39.7012
63,39.9732,39.6962
64,39.9084,39.9265
65,39.9261,39.4717
66,39.9213,39.5151
67,39.8969,39.5362
68,39.8788,39.5679
69,39.9554,39.5808
70,39.8746,39.7584
71,39.9209,39.5389
72,39.9126,39.5537
73,39.8341,39.4631
74,39.9573,39.8012
75,39.9453,39.4394
76,39.9928,39.6454
77,39.9561,39.5073
78,39.9794,39.8251
79,40.0168,40.0490
80,39.9207,39.9765
81,40.0149,40.0945
82,40.0048,39.4868
83,39.9383,39.5876
84,39.8811,39.9855
85,39.9233,39.9647
86,39.9080,39.5177
87,39.9768,40.4210
88,39.9871,40.5173
