epoch,train_loss,val_loss
1,40.5790,40.0004
2,40.4324,39.8359
3,40.3076,39.9790
4,40.2319,39.8491
5,40.2392,39.5151
6,40.1594,39.4219
7,40.1612,39.5085
8,40.0817,39.3409
9,40.1001,39.3040
10,40.1027,39.2858
11,40.1070,39.6627
12,40.0480,39.2459
13,40.0577,39.3369
14,40.0417,39.2291
15,39.9640,39.1969
16,40.0032,39.1704
17,40.0235,39.1763
18,39.9785,39.1469
19,40.0011,39.1411
20,39.9817,39.1399
21,39.9659,39.2041
22,39.9750,39.2895
23,39.9183,39.1863
24,39.9640,39.1384
25,39.9521,39.1212
26,39.9377,39.1088
27,39.9231,39.1443
28,39.9280,39.3515
29,39.9177,39.0983
30,39.9269,39.2665
31,39.9324,39.1152
32,39.9168,39.1999
33,39.9082,39.2851
34,39.9187,39.0878
35,39.9091,39.1147
36,39.9171,39.3334
37,39.8573,39.0685
38,39.9012,39.1259
39,39.8708,39.0799
40,39.8505,39.2604
41,39.8666,39.1877
42,39.9146,39.0798
43,39.8719,39.1949
44,39.8365,39.0932
45,39.8990,39.1305
46,39.8957,39.1737
47,39.8843,39.1400
48,39.8358,39.2059
49,39.8976,39.1711
50,39.8819,39.1266
51,39.8931,39.1411
52,39.8704,39.1932
53,39.8763,39.1453
54,39.8727,39.0836
55,39.8624,39.1831
56,39.8791,39.3429
57,39.9240,39.2022
58,39.8934,39.1986
59,39.8252,39.1701
60,39.8584,39.1904
61,39.8723,39.1675
62,39.8504,39.3013
63,39.8757,39.2512
64,39.9141,39.1508
65,39.9123,39.2527
66,39.8871,39.2239
67,39.8437,39.2846
68,39.8702,39.3404
69,39.9284,39.1848
70,39.8389,39.3712
71,39.8829,39.3286
72,39.8302,39.1975
73,39.9000,39.2490
74,39.9006,39.3367
75,39.8952,39.2790
76,39.8894,39.3080
77,39.8460,39.4464
78,39.8424,39.2377
79,39.8980,39.2452
80,39.8853,39.3841
81,39.8905,39.8114
82,39.9693,39.2279
83,39.9099,39.4553
84,39.9178,39.4007
85,39.8504,39.4712
86,39.8607,39.4757
87,39.8967,39.3439
