epoch,train_loss,val_loss
1,0.1281,0.1079
2,0.0937,0.0928
3,0.0891,0.0916
4,0.0882,0.0917
5,0.0905,0.0918
6,0.0888,0.0918
7,0.0863,0.0917
8,0.0875,0.0916
9,0.0899,0.0916
10,0.0865,0.0915
11,0.0884,0.0915
12,0.0909,0.0915
13,0.0896,0.0915
14,0.0868,0.0915
15,0.0876,0.0915
16,0.0894,0.0914
17,0.0866,0.0914
18,0.0898,0.0914
19,0.0899,0.0913
20,0.0878,0.0913
21,0.0907,0.0912
22,0.0888,0.0912
23,0.0874,0.0912
24,0.0866,0.0911
25,0.0891,0.0910
26,0.0889,0.0910
27,0.0898,0.0909
28,0.0879,0.0909
29,0.0874,0.0908
30,0.0893,0.0907
31,0.0905,0.0906
32,0.0888,0.0906
33,0.0879,0.0905
34,0.0908,0.0904
35,0.0870,0.0902
36,0.0862,0.0901
37,0.0864,0.0899
38,0.0887,0.0899
39,0.0866,0.0898
40,0.0878,0.0896
41,0.0854,0.0894
42,0.0895,0.0893
43,0.0860,0.0892
44,0.0858,0.0889
45,0.0872,0.0888
46,0.0864,0.0886
47,0.0868,0.0885
48,0.0889,0.0883
49,0.0875,0.0881
50,0.0844,0.0879
51,0.0847,0.0877
52,0.0859,0.0875
53,0.0867,0.0873
54,0.0866,0.0871
55,0.0850,0.0869
56,0.0841,0.0867
57,0.0858,0.0865
58,0.0856,0.0864
59,0.0833,0.0864
60,0.0842,0.0860
61,0.0840,0.0857
62,0.0853,0.0856
63,0.0853,0.0856
64,0.0825,0.0854
65,0.0847,0.0851
66,0.0860,0.0849
67,0.0820,0.0846
68,0.0841,0.0847
69,0.0849,0.0843
70,0.0823,0.0841
71,0.0862,0.0839
72,0.0830,0.0838
73,0.0821,0.0836
74,0.0826,0.0839
75,0.0806,0.0835
76,0.0829,0.0828
77,0.0818,0.0831
78,0.0817,0.0837
79,0.0826,0.0835
80,0.0795,0.0827
81,0.0814,0.0823
82,0.0805,0.0824
83,0.0821,0.0825
84,0.0819,0.0820
85,0.0812,0.0819
86,0.0839,0.0815
87,0.0822,0.0820
88,0.0809,0.0822
89,0.0805,0.0818
90,0.0814,0.0817
91,0.0830,0.0817
92,0.0809,0.0812
93,0.0839,0.0810
94,0.0820,0.0813
95,0.0770,0.0811
96,0.0810,0.0811
97,0.0802,0.0810
98,0.0796,0.0807
99,0.0806,0.0812
100,0.0831,0.0807
101,0.0772,0.0799
102,0.0790,0.0802
103,0.0824,0.0812
104,0.0802,0.0807
105,0.0787,0.0798
106,0.0811,0.0799
107,0.0820,0.0802
108,0.0794,0.0805
109,0.0823,0.0803
110,0.0833,0.0793
111,0.0804,0.0796
112,0.0835,0.0801
113,0.0788,0.0796
114,0.0805,0.0795
115,0.0807,0.0794
116,0.0800,0.0793
117,0.0779,0.0795
118,0.0791,0.0798
119,0.0747,0.0797
120,0.0810,0.0794
121,0.0812,0.0787
122,0.0801,0.0788
123,0.0800,0.0795
124,0.0801,0.0801
125,0.0823,0.0788
126,0.0808,0.0781
127,0.0794,0.0788
128,0.0808,0.0791
129,0.0809,0.0783
130,0.0815,0.0783
131,0.0840,0.0788
132,0.0815,0.0782
133,0.0795,0.0781
134,0.0817,0.0790
135,0.0804,0.0796
136,0.0829,0.0790
137,0.0814,0.0780
138,0.0805,0.0779
139,0.0803,0.0784
140,0.0804,0.0785
141,0.0817,0.0793
142,0.0792,0.0789
143,0.0766,0.0777
144,0.0801,0.0780
145,0.0814,0.0782
146,0.0781,0.0779
147,0.0794,0.0781
148,0.0818,0.0787
149,0.0834,0.0785
150,0.0796,0.0774
151,0.0809,0.0778
152,0.0818,0.0776
153,0.0814,0.0781
154,0.0774,0.0787
155,0.0805,0.0786
156,0.0797,0.0781
157,0.0791,0.0773
158,0.0790,0.0776
159,0.0796,0.0785
160,0.0771,0.0776
161,0.0809,0.0772
162,0.0805,0.0776
163,0.0793,0.0782
164,0.0808,0.0782
165,0.0780,0.0782
166,0.0805,0.0767
167,0.0774,0.0765
168,0.0774,0.0782
169,0.0799,0.0777
170,0.0773,0.0767
171,0.0815,0.0761
172,0.0794,0.0773
173,0.0809,0.0776
174,0.0809,0.0777
175,0.0813,0.0771
176,0.0795,0.0771
177,0.0797,0.0779
178,0.0774,0.0782
179,0.0805,0.0775
180,0.0762,0.0768
181,0.0796,0.0764
182,0.0790,0.0771
183,0.0808,0.0775
184,0.0779,0.0769
185,0.0825,0.0764
186,0.0765,0.0769
187,0.0777,0.0779
188,0.0837,0.0774
189,0.0802,0.0767
190,0.0809,0.0762
191,0.0782,0.0762
192,0.0806,0.0774
193,0.0780,0.0783
194,0.0774,0.0775
195,0.0772,0.0769
196,0.0786,0.0770
197,0.0793,0.0775
198,0.0773,0.0774
199,0.0783,0.0765
200,0.0782,0.0761
201,0.0782,0.0767
202,0.0814,0.0771
203,0.0789,0.0766
204,0.0776,0.0756
205,0.0794,0.0758
206,0.0777,0.0765
207,0.0775,0.0766
208,0.0791,0.0766
209,0.0810,0.0762
210,0.0777,0.0763
211,0.0793,0.0765
212,0.0805,0.0762
213,0.0794,0.0766
214,0.0823,0.0771
215,0.0806,0.0771
216,0.0786,0.0762
217,0.0764,0.0762
218,0.0799,0.0765
219,0.0800,0.0764
220,0.0804,0.0754
221,0.0783,0.0754
222,0.0784,0.0761
223,0.0771,0.0769
224,0.0765,0.0767
225,0.0804,0.0759
226,0.0783,0.0754
227,0.0792,0.0764
228,0.0805,0.0762
229,0.0777,0.0762
230,0.0768,0.0759
231,0.0800,0.0753
232,0.0828,0.0754
233,0.0812,0.0763
234,0.0747,0.0760
235,0.0754,0.0756
236,0.0774,0.0757
237,0.0799,0.0757
238,0.0778,0.0758
239,0.0781,0.0760
240,0.0806,0.0766
241,0.0785,0.0765
242,0.0753,0.0760
243,0.0759,0.0760
244,0.0769,0.0759
245,0.0780,0.0765
246,0.0775,0.0765
247,0.0793,0.0752
248,0.0788,0.0750
249,0.0777,0.0760
250,0.0775,0.0761
251,0.0778,0.0753
252,0.0811,0.0753
253,0.0798,0.0750
254,0.0780,0.0754
255,0.0775,0.0759
256,0.0797,0.0753
257,0.0753,0.0748
258,0.0774,0.0748
259,0.0778,0.0758
260,0.0776,0.0767
261,0.0798,0.0765
262,0.0787,0.0758
263,0.0793,0.0757
264,0.0799,0.0759
265,0.0786,0.0768
266,0.0778,0.0762
267,0.0783,0.0754
268,0.0777,0.0757
269,0.0789,0.0757
270,0.0793,0.0752
271,0.0794,0.0755
272,0.0762,0.0763
273,0.0786,0.0762
274,0.0799,0.0764
275,0.0754,0.0755
276,0.0764,0.0745
277,0.0792,0.0754
278,0.0757,0.0758
279,0.0778,0.0750
280,0.0778,0.0749
