epoch,train_loss,val_loss
1,0.1263,0.1009
2,0.0833,0.0920
3,0.0796,0.0921
4,0.0813,0.0924
5,0.0810,0.0925
6,0.0816,0.0925
7,0.0798,0.0923
8,0.0784,0.0922
9,0.0817,0.0921
10,0.0788,0.0919
11,0.0809,0.0918
12,0.0813,0.0917
13,0.0799,0.0916
14,0.0800,0.0915
15,0.0779,0.0914
16,0.0792,0.0913
17,0.0790,0.0911
18,0.0811,0.0910
19,0.0812,0.0908
20,0.0773,0.0906
21,0.0816,0.0904
22,0.0799,0.0901
23,0.0790,0.0898
24,0.0780,0.0894
25,0.0793,0.0890
26,0.0800,0.0885
27,0.0793,0.0882
28,0.0775,0.0878
29,0.0768,0.0873
30,0.0783,0.0869
31,0.0802,0.0863
32,0.0784,0.0861
33,0.0783,0.0856
34,0.0793,0.0852
35,0.0764,0.0851
36,0.0766,0.0849
37,0.0762,0.0846
38,0.0764,0.0840
39,0.0757,0.0837
40,0.0758,0.0835
41,0.0746,0.0831
42,0.0774,0.0825
43,0.0747,0.0824
44,0.0744,0.0829
45,0.0766,0.0823
46,0.0751,0.0815
47,0.0757,0.0815
48,0.0774,0.0818
49,0.0767,0.0813
50,0.0732,0.0807
51,0.0706,0.0803
52,0.0744,0.0807
53,0.0761,0.0808
54,0.0734,0.0805
55,0.0741,0.0798
56,0.0738,0.0795
57,0.0732,0.0797
58,0.0742,0.0798
59,0.0710,0.0802
60,0.0724,0.0799
61,0.0733,0.0793
62,0.0716,0.0793
63,0.0741,0.0796
64,0.0734,0.0793
65,0.0742,0.0789
66,0.0731,0.0790
67,0.0713,0.0785
68,0.0733,0.0784
69,0.0725,0.0787
70,0.0717,0.0786
71,0.0738,0.0784
72,0.0717,0.0787
73,0.0695,0.0781
74,0.0724,0.0777
75,0.0711,0.0777
76,0.0719,0.0775
77,0.0707,0.0781
78,0.0705,0.0785
79,0.0722,0.0786
80,0.0707,0.0782
81,0.0706,0.0778
82,0.0702,0.0777
83,0.0703,0.0778
84,0.0703,0.0776
85,0.0691,0.0768
86,0.0711,0.0765
87,0.0720,0.0773
88,0.0688,0.0785
89,0.0693,0.0783
90,0.0711,0.0769
91,0.0725,0.0764
92,0.0689,0.0771
93,0.0723,0.0773
94,0.0701,0.0770
95,0.0675,0.0772
96,0.0696,0.0773
97,0.0691,0.0770
98,0.0692,0.0765
99,0.0694,0.0772
100,0.0710,0.0772
101,0.0679,0.0765
102,0.0713,0.0764
103,0.0708,0.0774
104,0.0696,0.0769
105,0.0689,0.0768
106,0.0699,0.0766
107,0.0711,0.0763
108,0.0686,0.0762
