epoch,train_loss,val_loss
1,40.3787,40.3514
2,40.1659,40.1717
3,40.1270,40.1158
4,40.0929,40.0704
5,40.1251,40.0802
6,40.1495,40.0462
7,40.1486,40.0201
8,40.1551,40.0128
9,40.1128,39.9787
10,40.1856,39.9974
11,40.1481,39.9463
12,40.0324,39.9531
13,40.0237,39.9317
14,40.0039,39.8987
15,40.0780,39.8968
16,40.0296,39.8623
17,40.0461,39.8692
18,40.1052,39.9406
19,40.0135,39.8515
20,39.9935,39.8937
21,40.0480,39.9143
22,39.9908,39.8749
23,39.9769,39.8587
24,40.0097,39.8362
25,40.0393,39.8902
26,40.0135,39.8541
27,39.9704,39.8677
28,40.2524,39.8913
29,40.0581,39.8945
30,40.0189,39.8690
31,40.0565,39.8647
32,40.0286,39.8696
33,40.0635,39.8842
34,40.0539,39.8836
35,40.1491,39.9195
36,40.1200,39.8679
37,40.0866,39.9622
38,40.2156,39.9127
39,40.1540,39.9091
40,40.0428,39.8908
41,39.9876,39.8786
42,40.0381,39.8775
43,39.9942,39.8974
44,39.9573,39.8829
45,40.0010,39.8477
46,40.0527,39.8631
47,40.0050,39.8766
48,39.9576,39.8283
49,40.0343,39.8549
50,40.0258,39.8548
51,40.0116,39.8517
52,39.9929,39.8718
53,40.1055,39.8390
54,39.9447,39.8509
55,40.0085,39.9042
56,40.1034,39.8198
57,40.0203,39.8509
58,40.0243,39.8598
59,40.0102,39.8357
60,40.0325,39.8454
61,39.9945,39.8874
62,40.0718,39.8707
63,39.9931,39.9324
64,40.0314,39.8384
65,39.9614,39.8080
66,39.9644,39.8019
67,39.9683,39.7955
68,39.9677,39.7767
69,39.9880,39.7659
70,39.9745,39.9480
71,39.9745,39.7619
72,39.9566,39.8544
73,40.0482,39.7236
74,39.9980,39.8717
75,39.9863,39.7764
76,39.9974,39.7838
77,40.0168,39.9345
78,39.9815,39.7847
79,39.9522,39.9266
80,40.0025,39.8585
81,40.0273,39.9182
82,40.0312,39.8391
83,39.9720,39.8606
84,39.9789,39.9857
85,40.0047,39.7722
86,39.9666,39.7897
87,39.9509,39.8375
88,39.9848,39.7912
89,39.9247,39.9052
90,40.0154,39.9050
91,40.0055,39.8730
92,39.9678,39.9740
93,40.0394,39.8212
94,40.0282,39.7752
95,39.9779,39.8261
96,39.9784,39.7703
97,39.9826,39.7783
98,40.0437,39.8653
99,39.9944,39.9274
100,40.0870,39.8981
101,39.9841,39.7756
102,39.9772,39.8119
103,40.0376,39.7881
104,39.9977,39.9285
105,39.9568,39.9103
106,39.9336,39.8563
107,40.0118,39.8955
108,39.9667,39.9001
109,39.9991,39.8892
110,39.9145,39.9003
111,39.9269,39.8902
112,39.9614,39.8844
113,39.9233,39.9320
114,39.9818,39.9305
115,40.0501,39.9119
116,39.9848,39.9147
117,40.1112,40.4184
118,40.0028,39.8304
119,40.0284,39.8373
120,39.9355,39.8786
121,39.9907,39.7596
122,39.9606,39.7749
123,40.0846,39.8764
