epoch,train_loss,val_loss
1,40.1458,40.0943
2,39.9666,40.0756
3,39.9175,40.0548
4,39.8707,39.9940
5,39.8404,40.0112
6,39.8489,39.9478
7,39.8493,39.9306
8,39.7999,39.9923
9,39.8185,39.9197
10,39.7883,39.9484
11,39.7231,39.8269
12,39.7179,39.8112
13,39.7054,39.9597
14,39.7494,40.0874
15,39.7423,40.0608
16,39.6716,39.8907
17,39.6639,39.9171
18,39.7006,39.9685
19,39.6772,39.9961
20,39.6599,40.1418
21,39.6150,40.0297
22,39.6300,39.9525
23,39.6325,40.0094
24,39.5901,39.9213
25,39.5741,40.0712
26,39.5413,39.9246
27,39.5701,40.0505
28,39.5128,40.2471
29,39.5434,40.1032
30,39.5236,40.1453
31,39.5313,40.0163
32,39.5261,40.0211
33,39.5060,40.0783
34,39.5659,40.1107
35,39.4888,40.1870
36,39.5307,40.1330
37,39.5255,40.0749
38,39.4342,40.1976
39,39.4247,40.1564
40,39.4809,40.1232
41,39.4698,40.1074
42,39.4425,40.2088
43,39.4508,40.1638
44,39.4596,40.2467
45,39.4393,40.3592
46,39.4687,40.1381
47,39.3999,40.2338
48,39.4464,40.1878
49,39.4757,40.1588
50,39.4260,40.1579
51,39.3787,40.2238
52,39.4447,40.1486
53,39.3800,40.2122
54,39.4239,40.3984
55,39.3703,40.2481
56,39.4531,40.1257
57,39.4076,40.2029
58,39.3855,40.2586
59,39.3789,40.1778
60,39.3998,40.3173
61,39.3875,40.2844
62,39.4060,40.2719
