epoch,train_loss,val_loss
1,40.0569,40.3104
2,39.9243,40.2153
3,39.9025,40.1644
4,39.8807,40.1975
5,39.8011,40.1726
6,39.8500,40.1782
7,39.8369,40.1346
8,39.8379,40.1928
9,39.8057,40.0941
10,39.7847,40.0333
11,39.7518,40.0003
12,39.8251,40.0482
13,39.8089,40.0205
14,39.7611,39.9880
15,39.6994,39.9457
16,39.7278,40.0329
17,39.7176,40.1133
18,39.6833,40.1496
19,39.7430,39.9554
20,39.7273,40.0681
21,39.7066,39.9865
22,39.7038,40.0781
23,39.7041,40.0299
24,39.7705,39.9884
25,39.7122,40.0627
26,39.6904,40.0854
27,39.7271,40.1407
28,39.6985,40.1046
29,39.7122,40.1529
30,39.6825,40.1058
31,39.6971,40.0890
32,39.6358,40.1026
33,39.6781,40.2270
34,39.6329,40.0878
35,39.6740,40.1461
36,39.6384,40.1212
37,39.6755,40.1734
38,39.7372,40.1740
39,39.7112,40.1447
40,39.6323,40.0910
41,39.7075,40.1692
42,39.6615,40.1162
43,39.6755,40.1085
44,39.6380,40.0820
45,39.6639,40.1895
46,39.5921,40.1271
47,39.6620,40.1548
48,39.6542,40.1937
49,39.6322,40.1894
50,39.6143,40.1005
51,39.6918,40.1374
52,39.6423,40.1149
53,39.6191,40.1695
54,39.6444,40.1409
55,39.6922,40.1937
56,39.6503,40.0986
57,39.6601,40.1956
58,39.7086,40.1248
59,39.6664,40.1755
60,39.6582,40.0940
61,39.6961,40.1983
62,39.6917,40.1161
63,39.6759,40.1781
64,39.6635,40.1537
65,39.6711,40.1344
