epoch,train_loss,val_loss
1,0.1218,0.1228
2,0.0759,0.1080
3,0.0671,0.1060
4,0.0657,0.1057
5,0.0654,0.1057
6,0.0654,0.1057
7,0.0654,0.1056
8,0.0653,0.1056
9,0.0653,0.1056
10,0.0653,0.1055
11,0.0653,0.1055
12,0.0652,0.1054
13,0.0652,0.1053
14,0.0651,0.1051
15,0.0649,0.1047
16,0.0647,0.1042
17,0.0643,0.1033
18,0.0638,0.1023
19,0.0630,0.1013
20,0.0624,0.1003
21,0.0617,0.0996
22,0.0613,0.0989
23,0.0613,0.0983
24,0.0607,0.0979
25,0.0606,0.0974
26,0.0607,0.0969
27,0.0598,0.0965
28,0.0603,0.0962
29,0.0598,0.0956
30,0.0602,0.0944
31,0.0596,0.0946
32,0.0590,0.0950
33,0.0582,0.0939
34,0.0583,0.0936
35,0.0582,0.0940
36,0.0575,0.0937
37,0.0580,0.0935
38,0.0581,0.0932
39,0.0575,0.0932
40,0.0578,0.0931
41,0.0576,0.0928
42,0.0578,0.0928
43,0.0569,0.0924
44,0.0573,0.0925
45,0.0567,0.0924
46,0.0569,0.0922
47,0.0559,0.0918
48,0.0575,0.0919
49,0.0568,0.0918
50,0.0566,0.0917
51,0.0560,0.0915
52,0.0556,0.0913
53,0.0568,0.0911
54,0.0571,0.0911
55,0.0557,0.0912
56,0.0550,0.0910
57,0.0554,0.0908
58,0.0562,0.0905
59,0.0561,0.0905
60,0.0557,0.0904
61,0.0559,0.0902
62,0.0559,0.0901
63,0.0555,0.0903
64,0.0547,0.0903
65,0.0556,0.0901
66,0.0541,0.0901
67,0.0548,0.0902
68,0.0547,0.0903
69,0.0546,0.0905
70,0.0542,0.0903
71,0.0546,0.0900
72,0.0546,0.0899
73,0.0542,0.0899
74,0.0548,0.0901
75,0.0547,0.0901
76,0.0541,0.0899
77,0.0538,0.0898
78,0.0541,0.0896
79,0.0543,0.0897
80,0.0540,0.0899
81,0.0539,0.0899
82,0.0540,0.0897
83,0.0542,0.0897
84,0.0535,0.0899
85,0.0549,0.0901
86,0.0532,0.0899
87,0.0544,0.0896
88,0.0545,0.0893
89,0.0536,0.0895
90,0.0527,0.0896
91,0.0544,0.0898
92,0.0535,0.0898
93,0.0535,0.0898
94,0.0538,0.0898
95,0.0537,0.0898
96,0.0539,0.0897
97,0.0542,0.0894
98,0.0540,0.0895
99,0.0540,0.0894
100,0.0531,0.0894
101,0.0533,0.0894
102,0.0533,0.0895
103,0.0528,0.0895
104,0.0528,0.0894
105,0.0537,0.0895
106,0.0530,0.0896
107,0.0527,0.0894
108,0.0527,0.0895
109,0.0522,0.0896
110,0.0523,0.0895
111,0.0514,0.0892
112,0.0522,0.0893
113,0.0522,0.0896
114,0.0524,0.0895
115,0.0527,0.0893
116,0.0525,0.0889
117,0.0524,0.0887
118,0.0521,0.0886
119,0.0516,0.0890
120,0.0517,0.0889
121,0.0521,0.0885
122,0.0517,0.0883
123,0.0518,0.0883
124,0.0519,0.0887
125,0.0523,0.0889
126,0.0516,0.0889
127,0.0510,0.0884
128,0.0518,0.0883
129,0.0506,0.0883
130,0.0519,0.0884
131,0.0509,0.0883
132,0.0515,0.0882
133,0.0518,0.0882
134,0.0510,0.0881
135,0.0510,0.0878
136,0.0515,0.0880
137,0.0516,0.0884
138,0.0523,0.0883
139,0.0511,0.0879
140,0.0508,0.0878
141,0.0510,0.0879
142,0.0512,0.0879
143,0.0511,0.0877
144,0.0512,0.0876
145,0.0513,0.0878
146,0.0511,0.0879
147,0.0513,0.0876
148,0.0511,0.0876
149,0.0506,0.0877
150,0.0512,0.0875
151,0.0510,0.0874
152,0.0512,0.0874
153,0.0508,0.0875
154,0.0508,0.0875
155,0.0512,0.0873
156,0.0515,0.0871
157,0.0507,0.0871
158,0.0506,0.0872
159,0.0513,0.0874
160,0.0511,0.0873
161,0.0504,0.0873
162,0.0508,0.0874
163,0.0502,0.0873
164,0.0500,0.0870
165,0.0505,0.0869
166,0.0508,0.0872
167,0.0505,0.0873
168,0.0505,0.0873
169,0.0504,0.0870
170,0.0507,0.0870
171,0.0506,0.0872
172,0.0508,0.0874
173,0.0497,0.0874
174,0.0510,0.0872
175,0.0504,0.0870
176,0.0499,0.0870
177,0.0504,0.0871
178,0.0503,0.0875
179,0.0511,0.0875
180,0.0507,0.0873
181,0.0500,0.0872
182,0.0507,0.0872
183,0.0501,0.0875
184,0.0505,0.0874
185,0.0502,0.0875
186,0.0504,0.0876
187,0.0499,0.0877
188,0.0499,0.0876
189,0.0507,0.0876
190,0.0500,0.0877
191,0.0507,0.0873
192,0.0508,0.0868
193,0.0503,0.0868
194,0.0502,0.0869
195,0.0497,0.0870
196,0.0507,0.0870
197,0.0507,0.0870
198,0.0498,0.0871
199,0.0499,0.0873
200,0.0502,0.0872
201,0.0501,0.0868
202,0.0501,0.0867
203,0.0507,0.0869
204,0.0501,0.0869
205,0.0495,0.0868
206,0.0499,0.0866
207,0.0496,0.0867
208,0.0507,0.0868
209,0.0500,0.0868
210,0.0494,0.0868
211,0.0506,0.0870
212,0.0494,0.0866
213,0.0498,0.0868
214,0.0503,0.0871
215,0.0497,0.0868
216,0.0500,0.0867
217,0.0500,0.0865
218,0.0504,0.0865
219,0.0499,0.0869
220,0.0504,0.0870
221,0.0495,0.0869
222,0.0496,0.0871
223,0.0504,0.0872
224,0.0497,0.0872
225,0.0501,0.0869
226,0.0501,0.0866
227,0.0497,0.0865
228,0.0501,0.0868
229,0.0504,0.0870
230,0.0499,0.0872
231,0.0505,0.0870
232,0.0505,0.0869
233,0.0499,0.0869
234,0.0504,0.0866
235,0.0495,0.0866
236,0.0498,0.0865
237,0.0498,0.0866
238,0.0497,0.0869
239,0.0498,0.0870
240,0.0505,0.0869
241,0.0503,0.0866
242,0.0492,0.0869
243,0.0499,0.0870
244,0.0493,0.0868
