epoch,train_loss,val_loss
1,0.1282,0.0953
2,0.0814,0.0796
3,0.0744,0.0775
4,0.0735,0.0772
5,0.0733,0.0772
6,0.0732,0.0771
7,0.0732,0.0770
8,0.0730,0.0769
9,0.0724,0.0767
10,0.0717,0.0763
11,0.0706,0.0758
12,0.0700,0.0753
13,0.0687,0.0748
14,0.0687,0.0744
15,0.0677,0.0740
16,0.0671,0.0732
17,0.0672,0.0724
18,0.0674,0.0724
19,0.0656,0.0722
20,0.0665,0.0720
21,0.0645,0.0712
22,0.0654,0.0712
23,0.0644,0.0710
24,0.0633,0.0704
25,0.0645,0.0703
26,0.0627,0.0703
27,0.0630,0.0702
28,0.0638,0.0705
29,0.0628,0.0703
30,0.0631,0.0701
31,0.0620,0.0698
32,0.0618,0.0693
33,0.0625,0.0693
34,0.0628,0.0697
35,0.0621,0.0696
36,0.0619,0.0695
37,0.0624,0.0691
38,0.0616,0.0686
39,0.0608,0.0683
40,0.0600,0.0684
41,0.0619,0.0689
42,0.0616,0.0687
43,0.0602,0.0682
44,0.0612,0.0681
45,0.0597,0.0677
46,0.0607,0.0676
47,0.0603,0.0679
48,0.0608,0.0681
49,0.0611,0.0679
50,0.0596,0.0672
51,0.0600,0.0672
52,0.0593,0.0675
53,0.0604,0.0677
54,0.0602,0.0671
55,0.0596,0.0666
56,0.0609,0.0664
57,0.0597,0.0662
58,0.0598,0.0663
59,0.0606,0.0666
60,0.0591,0.0668
61,0.0589,0.0666
62,0.0587,0.0667
63,0.0596,0.0664
64,0.0592,0.0664
65,0.0597,0.0662
66,0.0595,0.0660
67,0.0596,0.0663
68,0.0598,0.0665
69,0.0597,0.0668
70,0.0590,0.0669
71,0.0592,0.0667
72,0.0581,0.0667
73,0.0589,0.0664
74,0.0592,0.0665
75,0.0591,0.0664
76,0.0591,0.0667
77,0.0589,0.0667
78,0.0592,0.0659
79,0.0585,0.0658
80,0.0591,0.0660
81,0.0581,0.0667
82,0.0594,0.0673
83,0.0586,0.0671
84,0.0587,0.0670
85,0.0589,0.0670
86,0.0591,0.0670
87,0.0579,0.0670
88,0.0587,0.0671
89,0.0581,0.0669
90,0.0581,0.0669
91,0.0583,0.0668
92,0.0582,0.0674
93,0.0578,0.0672
94,0.0584,0.0666
95,0.0584,0.0667
96,0.0576,0.0667
97,0.0579,0.0669
98,0.0581,0.0664
99,0.0575,0.0669
100,0.0579,0.0669
101,0.0574,0.0667
102,0.0573,0.0678
103,0.0578,0.0685
104,0.0565,0.0681
105,0.0568,0.0676
106,0.0564,0.0675
107,0.0554,0.0680
108,0.0553,0.0684
109,0.0572,0.0691
110,0.0567,0.0683
111,0.0556,0.0675
112,0.0560,0.0680
113,0.0559,0.0684
114,0.0565,0.0684
115,0.0559,0.0679
116,0.0563,0.0677
117,0.0566,0.0680
118,0.0556,0.0684
119,0.0562,0.0683
120,0.0562,0.0688
121,0.0564,0.0690
122,0.0560,0.0689
123,0.0557,0.0691
124,0.0556,0.0689
125,0.0555,0.0692
126,0.0558,0.0692
127,0.0557,0.0691
128,0.0552,0.0688
129,0.0550,0.0687
