epoch,train_loss,val_loss
1,40.1060,40.0329
2,39.9384,39.9104
3,39.8589,39.9803
4,39.8955,39.8559
5,39.8509,39.8861
6,39.7854,39.8842
7,39.8513,39.9268
8,39.8584,39.8224
9,39.8480,40.0090
10,39.8806,39.8016
11,39.8692,39.7065
12,39.8566,39.7032
13,39.8597,39.7319
14,39.8416,39.8781
15,39.8530,40.0363
16,39.8863,39.9520
17,39.8397,39.8007
18,39.8486,39.9626
19,39.8725,39.8860
20,39.8037,39.7713
21,39.8179,39.9435
22,39.8161,39.8095
23,39.8417,39.9693
24,39.9185,39.8536
25,39.8848,39.9318
26,39.8897,40.0460
27,39.8957,39.9825
28,39.8486,39.9675
29,39.8174,39.8095
30,39.8664,39.8461
31,39.8054,39.8341
32,39.8575,39.8061
33,39.8268,39.8011
34,39.8588,39.9336
35,39.7536,39.7289
36,39.8767,39.8358
37,39.8081,39.8383
38,39.8167,39.8527
39,39.8974,39.7806
40,39.8479,39.7746
41,39.8133,39.8291
42,39.8596,39.8774
43,39.8687,39.8227
44,39.8093,39.8153
45,39.8722,39.7759
46,39.8535,39.9183
47,39.8481,39.7038
48,39.8095,39.6713
49,39.7663,39.6541
50,39.8162,39.7263
51,39.8387,39.7254
52,39.7997,39.9029
53,39.8394,39.9334
54,39.8185,39.7073
55,39.8617,39.7286
56,39.8785,39.7339
57,39.8424,39.7841
58,39.8950,39.9468
59,39.8430,39.7992
60,39.8467,39.9228
61,39.8893,39.6251
62,39.7790,39.8327
63,39.7800,39.7692
64,39.8604,39.7358
65,39.8182,39.6962
66,39.8516,39.7954
67,39.8128,39.7031
68,39.8210,39.8161
69,39.8565,39.8406
70,39.7821,39.8620
71,39.8893,39.6766
72,39.8166,39.7586
73,39.7812,39.6281
74,39.7610,39.6181
75,39.8059,39.6339
76,39.8297,39.6695
77,39.8018,39.7863
78,39.8495,39.8231
79,39.7556,39.6827
80,39.7818,39.7044
81,39.8072,39.7137
82,39.7980,39.6411
83,39.7707,39.9396
84,39.8838,39.6660
85,39.8112,39.7258
86,39.7672,39.6698
87,39.7946,39.7008
88,39.8176,39.7768
89,39.8521,39.6746
90,39.7420,39.6522
91,39.7684,39.7090
92,39.7812,39.8933
93,39.7966,39.7316
94,39.8080,39.7113
95,39.7219,39.6898
96,39.7056,39.6780
97,39.7992,39.9070
98,39.8080,39.9191
99,39.7591,39.7630
100,39.7789,39.7705
101,39.7682,39.8707
102,39.6803,40.0166
103,39.7837,39.8251
104,39.7686,39.7888
105,39.7604,39.7412
106,39.8049,39.8569
107,39.7352,39.7050
108,39.7112,39.6654
109,39.7767,39.7567
110,39.7556,39.8842
111,39.7969,39.7806
112,39.7502,39.6870
113,39.7346,39.7645
114,39.7796,39.8957
115,39.8809,39.8470
116,39.7725,39.8446
117,39.8359,39.7301
118,39.7561,39.8310
119,39.7901,39.7133
120,39.7486,39.7827
121,39.7423,39.8306
122,39.7551,39.7796
123,39.7465,39.7044
124,39.7627,39.8042
