epoch,train_loss,val_loss
1,39.9634,39.7956
2,39.8533,39.7265
3,39.8335,39.7065
4,39.7727,39.6582
5,39.7615,39.6471
6,39.7504,39.6161
7,39.7370,39.6268
8,39.7297,39.6177
9,39.7244,39.6212
10,39.7195,39.6142
11,39.6796,39.5958
12,39.7044,39.5949
13,39.6800,39.5680
14,39.6216,39.5877
15,39.6443,39.5688
16,39.6668,39.5835
17,39.6570,39.5831
18,39.6192,39.6018
19,39.5886,39.5695
20,39.6107,39.5600
21,39.6070,39.5429
22,39.6477,39.5504
23,39.5723,39.5620
24,39.5788,39.5519
25,39.5921,39.5183
26,39.6046,39.5289
27,39.5609,39.5244
28,39.5792,39.5046
29,39.6157,39.5138
30,39.5646,39.5090
31,39.5409,39.5018
32,39.5884,39.4898
33,39.5701,39.4777
34,39.5357,39.4868
35,39.5260,39.4927
36,39.5704,39.4747
37,39.5531,39.4806
38,39.5271,39.4687
39,39.5274,39.4874
40,39.5719,39.4796
41,39.5307,39.4812
42,39.5490,39.4762
43,39.5310,39.4636
44,39.5065,39.4799
45,39.5129,39.4621
46,39.5242,39.4750
47,39.5180,39.4648
48,39.5033,39.4521
49,39.4892,39.4614
50,39.4827,39.4553
51,39.4782,39.4338
52,39.5223,39.4370
53,39.4756,39.4426
54,39.4818,39.4368
55,39.5356,39.4344
56,39.4939,39.4386
57,39.4923,39.4376
58,39.4676,39.4151
59,39.4739,39.4167
60,39.4654,39.4238
61,39.4638,39.4074
62,39.4683,39.3989
63,39.4666,39.3975
64,39.4574,39.4079
65,39.4907,39.4158
66,39.4788,39.4160
67,39.4536,39.4007
68,39.4318,39.3970
69,39.4637,39.3957
70,39.5077,39.4014
71,39.4573,39.4179
72,39.4638,39.4086
73,39.4816,39.4027
74,39.4233,39.3948
75,39.4321,39.3956
76,39.4396,39.3994
77,39.4458,39.3964
78,39.4563,39.3908
79,39.4273,39.3782
80,39.3924,39.3616
81,39.4617,39.3648
82,39.4056,39.3634
83,39.4539,39.3608
84,39.4489,39.3626
85,39.4124,39.3727
86,39.4164,39.3727
87,39.4308,39.3595
88,39.4580,39.3530
89,39.4382,39.3526
90,39.4086,39.3484
91,39.4058,39.3560
92,39.4093,39.3600
93,39.4055,39.3633
94,39.4194,39.3668
95,39.3795,39.3578
