epoch,train_loss,val_loss
1,40.0165,39.7969
2,39.8484,39.6812
3,39.7917,39.5190
4,39.8397,39.5344
5,39.7644,39.6076
6,39.7994,39.4696
7,39.7910,39.5173
8,39.7772,39.5009
9,39.7673,39.4485
10,39.9469,39.6494
11,39.8018,39.5145
12,40.0692,41.1180
13,39.9096,39.4849
14,39.7781,39.6573
15,40.0827,40.0902
16,40.0572,40.8304
17,40.0805,39.3889
18,39.9436,41.9816
19,40.2832,39.5151
20,39.9602,39.6410
21,39.7350,39.3847
22,39.8133,39.9887
23,39.6504,39.5951
24,39.7844,39.4528
25,39.6965,39.5988
26,39.7603,39.4052
27,40.1061,39.3029
28,39.7399,39.3857
29,39.6461,39.2806
30,39.6472,39.3568
31,39.9176,39.3751
32,39.6107,39.6768
33,39.7490,39.3352
34,39.7261,39.3178
35,39.6775,39.7647
36,39.6874,39.3682
37,39.9817,39.7170
38,39.7061,39.7349
39,39.6651,39.3896
40,39.7243,39.3283
41,39.5961,39.3659
42,39.6713,39.6031
43,39.6672,39.2674
44,39.7536,39.2693
45,39.7397,39.4273
46,39.6456,39.4408
47,39.7747,39.4026
48,39.5762,39.7804
49,39.6289,39.3863
50,39.7123,39.4839
51,39.6331,39.4500
52,39.7427,39.6166
53,39.8453,42.0687
54,39.7645,39.6783
55,39.6906,39.3690
56,39.7210,39.4566
57,39.5646,39.4527
58,39.5801,39.3780
59,39.6791,39.5471
60,39.5089,39.4181
61,39.5957,39.5059
62,39.4711,39.4662
63,39.6005,39.4799
64,39.5278,39.4964
65,39.5786,39.3989
66,39.5580,39.4808
67,39.7748,39.4230
68,39.5739,39.4084
69,39.7761,39.3934
70,39.6018,39.3318
71,39.6181,39.3915
72,39.6352,39.4474
73,39.5268,39.4319
74,39.7062,39.3540
75,39.4680,39.3844
76,39.6413,40.2188
77,39.5751,39.4410
78,39.5121,39.4066
79,39.4992,39.2990
80,39.5623,39.4302
81,39.5029,39.3938
82,39.4664,39.5276
83,39.5284,39.5120
84,39.4761,39.5609
85,39.5894,39.4840
86,39.4914,39.6595
87,39.4411,39.4270
88,39.5160,39.6380
89,39.4878,39.6173
90,39.5371,39.6229
91,39.4561,39.6098
92,39.5941,39.3429
93,39.3481,39.3560
