epoch,train_loss,val_loss
1,39.9103,40.0013
2,39.8061,39.7969
3,39.7277,39.6097
4,39.8033,39.6240
5,39.9489,39.5317
6,39.6954,39.7768
7,39.8033,39.3995
8,39.6900,39.4411
9,39.8445,39.4413
10,39.7701,39.4804
11,39.7851,39.3436
12,39.6528,39.3448
13,39.7462,39.3793
14,39.9041,39.5440
15,39.7790,39.4127
16,39.8324,39.3507
17,39.7893,39.5116
18,39.6893,39.3570
19,39.8874,39.4347
20,39.7072,39.4666
21,39.7240,39.3320
22,39.7013,39.2973
23,39.8159,39.5245
24,39.6550,39.3127
25,39.5745,39.3664
26,39.7857,39.4650
27,39.7313,39.2609
28,39.7556,39.9172
29,39.7081,39.5676
30,39.5920,39.5689
31,39.7345,39.2494
32,39.7302,39.1582
33,39.6735,39.2892
34,39.5456,39.5777
35,39.8303,39.4405
36,39.6854,40.1613
37,39.6964,39.2193
38,39.6372,39.3686
39,39.5551,39.1924
40,39.6442,39.4275
41,39.5777,39.1480
42,39.4965,39.4700
43,39.5776,39.2226
44,39.6884,39.1891
45,39.6195,39.3524
46,39.6155,39.4058
47,39.5822,39.3217
48,39.5467,39.3329
49,39.5898,39.1677
50,39.5305,39.3919
51,39.5620,39.3623
52,39.5268,39.1358
53,39.5211,39.1037
54,39.4890,39.7174
55,39.5917,39.8581
56,39.4918,39.4266
57,39.4917,39.3916
58,39.5318,39.3910
59,39.4895,39.5145
60,39.4696,39.3648
61,39.4691,39.3469
62,39.5325,40.6880
63,39.4839,39.2150
64,39.4780,39.2481
65,39.4950,39.5312
66,39.4525,39.6061
67,39.4987,39.3461
68,39.3509,39.4750
69,39.5093,39.5933
70,39.4081,39.4941
71,39.5776,39.9786
72,39.3654,39.2857
73,39.5282,39.7806
74,39.3677,39.3170
75,39.3730,39.3380
76,39.3596,39.6308
77,39.3313,39.3210
78,39.3051,40.0404
79,39.4129,39.5410
80,39.3700,39.3757
81,39.3350,39.3438
82,39.3822,39.6987
83,39.3400,39.3352
84,39.3799,39.3006
85,39.3588,39.4441
86,39.2759,39.7910
87,39.2811,39.5264
88,39.3921,39.8498
89,39.3206,39.5806
90,39.3374,39.3887
91,39.3426,39.5874
92,39.3369,39.5260
93,39.3566,39.3783
94,39.3195,39.3781
95,39.2956,39.4792
96,39.3081,39.4643
97,39.2906,40.1353
98,39.3581,39.4295
99,39.2622,39.6329
100,39.3661,39.4134
101,39.2288,39.3064
102,39.3483,39.4952
103,39.3278,39.4483
