epoch,train_loss,val_loss
1,0.2993,0.2356
2,0.1890,0.1377
3,0.1135,0.0973
4,0.0867,0.0860
5,0.0791,0.0825
6,0.0766,0.0812
7,0.0755,0.0805
8,0.0750,0.0802
9,0.0747,0.0800
10,0.0745,0.0798
11,0.0743,0.0797
12,0.0742,0.0796
13,0.0741,0.0795
14,0.0740,0.0794
15,0.0740,0.0794
16,0.0739,0.0793
17,0.0738,0.0792
18,0.0738,0.0792
19,0.0737,0.0791
20,0.0737,0.0791
21,0.0736,0.0791
22,0.0736,0.0790
23,0.0735,0.0790
24,0.0735,0.0790
25,0.0735,0.0789
26,0.0734,0.0789
27,0.0734,0.0789
28,0.0734,0.0789
29,0.0734,0.0788
30,0.0733,0.0788
31,0.0733,0.0788
32,0.0733,0.0788
33,0.0733,0.0788
34,0.0732,0.0787
35,0.0732,0.0787
36,0.0732,0.0787
37,0.0732,0.0787
38,0.0732,0.0787
39,0.0731,0.0787
40,0.0731,0.0787
41,0.0731,0.0786
42,0.0731,0.0786
43,0.0731,0.0786
44,0.0730,0.0786
45,0.0730,0.0786
46,0.0730,0.0786
47,0.0730,0.0786
48,0.0730,0.0785
49,0.0730,0.0785
50,0.0729,0.0785
51,0.0729,0.0785
52,0.0729,0.0785
53,0.0729,0.0785
54,0.0729,0.0785
55,0.0728,0.0785
56,0.0728,0.0784
57,0.0728,0.0784
58,0.0728,0.0784
59,0.0727,0.0784
60,0.0727,0.0784
61,0.0727,0.0784
62,0.0727,0.0783
63,0.0726,0.0783
64,0.0726,0.0783
65,0.0726,0.0783
66,0.0725,0.0783
67,0.0725,0.0782
68,0.0724,0.0782
69,0.0724,0.0782
70,0.0724,0.0781
71,0.0723,0.0781
72,0.0723,0.0781
73,0.0722,0.0781
74,0.0722,0.0780
75,0.0721,0.0780
76,0.0720,0.0779
77,0.0720,0.0779
78,0.0719,0.0779
79,0.0718,0.0778
80,0.0717,0.0778
81,0.0717,0.0777
82,0.0716,0.0777
83,0.0715,0.0777
84,0.0714,0.0776
85,0.0713,0.0776
86,0.0712,0.0775
87,0.0711,0.0775
88,0.0711,0.0775
89,0.0710,0.0775
90,0.0709,0.0774
91,0.0708,0.0774
92,0.0707,0.0774
93,0.0706,0.0773
94,0.0705,0.0773
95,0.0704,0.0773
96,0.0703,0.0772
97,0.0702,0.0772
98,0.0701,0.0772
99,0.0700,0.0771
100,0.0699,0.0771
101,0.0698,0.0770
102,0.0696,0.0770
103,0.0695,0.0770
104,0.0694,0.0769
105,0.0693,0.0769
106,0.0692,0.0768
107,0.0691,0.0768
108,0.0690,0.0768
109,0.0689,0.0767
110,0.0688,0.0767
111,0.0687,0.0767
112,0.0686,0.0767
113,0.0684,0.0766
114,0.0683,0.0766
115,0.0682,0.0766
116,0.0681,0.0766
117,0.0680,0.0765
118,0.0679,0.0765
119,0.0678,0.0765
120,0.0677,0.0764
121,0.0676,0.0764
122,0.0675,0.0764
123,0.0674,0.0763
124,0.0673,0.0763
125,0.0672,0.0762
126,0.0671,0.0762
127,0.0671,0.0761
128,0.0670,0.0761
129,0.0669,0.0760
130,0.0668,0.0760
131,0.0668,0.0759
132,0.0667,0.0758
133,0.0666,0.0758
134,0.0666,0.0757
135,0.0665,0.0757
136,0.0664,0.0756
137,0.0664,0.0756
138,0.0663,0.0755
139,0.0662,0.0755
140,0.0662,0.0754
141,0.0661,0.0753
142,0.0661,0.0753
143,0.0660,0.0752
144,0.0659,0.0752
145,0.0659,0.0751
146,0.0658,0.0751
147,0.0658,0.0750
148,0.0657,0.0750
149,0.0656,0.0749
150,0.0656,0.0748
151,0.0655,0.0748
152,0.0655,0.0747
153,0.0654,0.0747
154,0.0654,0.0746
155,0.0653,0.0746
156,0.0652,0.0745
157,0.0652,0.0745
158,0.0651,0.0745
159,0.0651,0.0744
160,0.0650,0.0744
161,0.0650,0.0743
162,0.0649,0.0743
163,0.0649,0.0742
164,0.0648,0.0742
165,0.0648,0.0741
166,0.0648,0.0741
167,0.0647,0.0741
168,0.0647,0.0740
169,0.0646,0.0740
170,0.0646,0.0739
171,0.0645,0.0739
172,0.0645,0.0739
173,0.0644,0.0738
174,0.0644,0.0738
175,0.0643,0.0737
176,0.0643,0.0737
177,0.0643,0.0737
178,0.0642,0.0736
179,0.0642,0.0736
180,0.0641,0.0736
181,0.0641,0.0735
182,0.0641,0.0735
183,0.0640,0.0735
184,0.0640,0.0734
185,0.0639,0.0734
186,0.0639,0.0734
187,0.0639,0.0733
188,0.0638,0.0733
189,0.0638,0.0733
190,0.0637,0.0732
191,0.0637,0.0732
192,0.0637,0.0732
193,0.0636,0.0732
194,0.0636,0.0731
195,0.0636,0.0731
196,0.0635,0.0731
197,0.0635,0.0731
198,0.0634,0.0730
199,0.0634,0.0730
200,0.0634,0.0730
201,0.0633,0.0730
202,0.0633,0.0729
203,0.0633,0.0729
204,0.0632,0.0729
205,0.0632,0.0729
206,0.0632,0.0729
207,0.0631,0.0728
208,0.0631,0.0728
209,0.0631,0.0728
210,0.0630,0.0728
211,0.0630,0.0727
212,0.0630,0.0727
213,0.0629,0.0727
214,0.0629,0.0727
215,0.0629,0.0727
216,0.0628,0.0726
217,0.0628,0.0726
218,0.0628,0.0726
219,0.0627,0.0726
220,0.0627,0.0726
221,0.0627,0.0725
222,0.0626,0.0725
223,0.0626,0.0725
224,0.0626,0.0725
225,0.0626,0.0725
226,0.0625,0.0724
227,0.0625,0.0724
228,0.0625,0.0724
229,0.0624,0.0724
230,0.0624,0.0724
231,0.0624,0.0724
232,0.0624,0.0723
233,0.0623,0.0723
234,0.0623,0.0723
235,0.0623,0.0723
236,0.0623,0.0723
237,0.0622,0.0722
238,0.0622,0.0722
239,0.0622,0.0722
240,0.0622,0.0722
241,0.0621,0.0722
242,0.0621,0.0722
243,0.0621,0.0721
244,0.0621,0.0721
245,0.0620,0.0721
246,0.0620,0.0721
247,0.0620,0.0721
248,0.0620,0.0721
249,0.0619,0.0720
250,0.0619,0.0720
251,0.0619,0.0720
252,0.0619,0.0720
253,0.0619,0.0720
254,0.0618,0.0720
255,0.0618,0.0720
256,0.0618,0.0719
257,0.0618,0.0719
258,0.0617,0.0719
259,0.0617,0.0719
260,0.0617,0.0719
261,0.0617,0.0719
262,0.0617,0.0718
263,0.0616,0.0718
264,0.0616,0.0718
265,0.0616,0.0718
266,0.0616,0.0718
267,0.0616,0.0718
268,0.0615,0.0718
269,0.0615,0.0717
270,0.0615,0.0717
271,0.0615,0.0717
272,0.0615,0.0717
273,0.0615,0.0717
274,0.0614,0.0717
275,0.0614,0.0717
276,0.0614,0.0717
277,0.0614,0.0716
278,0.0614,0.0716
279,0.0613,0.0716
280,0.0613,0.0716
281,0.0613,0.0716
282,0.0613,0.0716
283,0.0613,0.0716
284,0.0613,0.0715
285,0.0612,0.0715
286,0.0612,0.0715
287,0.0612,0.0715
288,0.0612,0.0715
289,0.0612,0.0715
290,0.0612,0.0715
291,0.0611,0.0715
292,0.0611,0.0714
293,0.0611,0.0714
294,0.0611,0.0714
295,0.0611,0.0714
296,0.0611,0.0714
297,0.0610,0.0714
298,0.0610,0.0714
299,0.0610,0.0714
300,0.0610,0.0714
301,0.0610,0.0713
302,0.0610,0.0713
303,0.0610,0.0713
304,0.0609,0.0713
305,0.0609,0.0713
306,0.0609,0.0713
307,0.0609,0.0713
308,0.0609,0.0713
309,0.0609,0.0712
310,0.0609,0.0712
311,0.0608,0.0712
312,0.0608,0.0712
313,0.0608,0.0712
314,0.0608,0.0712
315,0.0608,0.0712
316,0.0608,0.0712
317,0.0608,0.0712
318,0.0607,0.0712
319,0.0607,0.0711
320,0.0607,0.0711
321,0.0607,0.0711
322,0.0607,0.0711
323,0.0607,0.0711
324,0.0607,0.0711
325,0.0606,0.0711
326,0.0606,0.0711
327,0.0606,0.0711
328,0.0606,0.0711
329,0.0606,0.0710
330,0.0606,0.0710
331,0.0606,0.0710
332,0.0606,0.0710
333,0.0605,0.0710
334,0.0605,0.0710
335,0.0605,0.0710
336,0.0605,0.0710
337,0.0605,0.0710
338,0.0605,0.0710
339,0.0605,0.0709
340,0.0605,0.0709
341,0.0604,0.0709
342,0.0604,0.0709
343,0.0604,0.0709
344,0.0604,0.0709
345,0.0604,0.0709
346,0.0604,0.0709
347,0.0604,0.0709
348,0.0604,0.0709
349,0.0603,0.0709
350,0.0603,0.0708
351,0.0603,0.0708
352,0.0603,0.0708
353,0.0603,0.0708
354,0.0603,0.0708
355,0.0603,0.0708
356,0.0603,0.0708
357,0.0603,0.0708
358,0.0602,0.0708
359,0.0602,0.0708
360,0.0602,0.0708
361,0.0602,0.0707
362,0.0602,0.0707
363,0.0602,0.0707
364,0.0602,0.0707
365,0.0602,0.0707
366,0.0602,0.0707
367,0.0601,0.0707
368,0.0601,0.0707
369,0.0601,0.0707
370,0.0601,0.0707
371,0.0601,0.0707
372,0.0601,0.0707
373,0.0601,0.0706
374,0.0601,0.0706
375,0.0601,0.0706
376,0.0601,0.0706
377,0.0600,0.0706
378,0.0600,0.0706
379,0.0600,0.0706
380,0.0600,0.0706
381,0.0600,0.0706
382,0.0600,0.0706
383,0.0600,0.0706
384,0.0600,0.0706
385,0.0600,0.0706
386,0.0600,0.0705
387,0.0599,0.0705
388,0.0599,0.0705
389,0.0599,0.0705
390,0.0599,0.0705
391,0.0599,0.0705
392,0.0599,0.0705
393,0.0599,0.0705
394,0.0599,0.0705
395,0.0599,0.0705
396,0.0599,0.0705
397,0.0599,0.0705
398,0.0598,0.0705
399,0.0598,0.0704
400,0.0598,0.0704
401,0.0598,0.0704
402,0.0598,0.0704
403,0.0598,0.0704
404,0.0598,0.0704
405,0.0598,0.0704
406,0.0598,0.0704
407,0.0598,0.0704
408,0.0598,0.0704
409,0.0597,0.0704
410,0.0597,0.0704
411,0.0597,0.0704
412,0.0597,0.0704
413,0.0597,0.0703
414,0.0597,0.0703
415,0.0597,0.0703
416,0.0597,0.0703
417,0.0597,0.0703
418,0.0597,0.0703
419,0.0597,0.0703
