epoch,train_loss,val_loss
1,0.1458,0.0650
2,0.0922,0.0556
3,0.0877,0.0549
4,0.0910,0.0548
5,0.0916,0.0548
6,0.0896,0.0548
7,0.0897,0.0548
8,0.0879,0.0548
9,0.0888,0.0548
10,0.0879,0.0548
11,0.0895,0.0548
12,0.0893,0.0548
13,0.0889,0.0548
14,0.0874,0.0548
15,0.0884,0.0548
16,0.0883,0.0548
17,0.0893,0.0548
18,0.0889,0.0548
19,0.0880,0.0548
20,0.0877,0.0548
21,0.0878,0.0548
22,0.0895,0.0548
23,0.0885,0.0548
24,0.0911,0.0548
25,0.0893,0.0548
26,0.0896,0.0548
27,0.0884,0.0548
28,0.0866,0.0548
29,0.0898,0.0548
30,0.0871,0.0548
31,0.0874,0.0548
32,0.0889,0.0548
33,0.0894,0.0548
34,0.0894,0.0548
35,0.0898,0.0548
36,0.0898,0.0548
37,0.0909,0.0548
38,0.0885,0.0548
39,0.0896,0.0548
40,0.0871,0.0548
41,0.0874,0.0548
42,0.0902,0.0548
43,0.0904,0.0548
44,0.0893,0.0548
45,0.0883,0.0548
46,0.0897,0.0548
47,0.0919,0.0548
48,0.0876,0.0548
49,0.0894,0.0548
50,0.0878,0.0548
51,0.0877,0.0548
52,0.0905,0.0548
53,0.0889,0.0548
54,0.0893,0.0548
55,0.0874,0.0548
56,0.0871,0.0548
57,0.0883,0.0548
58,0.0902,0.0548
59,0.0858,0.0548
60,0.0886,0.0548
61,0.0894,0.0548
62,0.0888,0.0548
63,0.0890,0.0548
64,0.0885,0.0548
65,0.0876,0.0548
66,0.0904,0.0548
67,0.0892,0.0548
68,0.0911,0.0548
69,0.0887,0.0548
70,0.0883,0.0548
71,0.0883,0.0548
72,0.0900,0.0548
73,0.0884,0.0548
74,0.0889,0.0548
75,0.0876,0.0548
76,0.0882,0.0548
77,0.0882,0.0548
78,0.0895,0.0548
79,0.0887,0.0548
80,0.0888,0.0548
81,0.0887,0.0548
82,0.0914,0.0548
83,0.0880,0.0548
84,0.0874,0.0548
85,0.0889,0.0548
86,0.0877,0.0548
87,0.0879,0.0548
88,0.0899,0.0548
89,0.0875,0.0548
90,0.0890,0.0548
91,0.0876,0.0548
92,0.0906,0.0548
93,0.0876,0.0548
94,0.0888,0.0548
95,0.0879,0.0548
96,0.0907,0.0548
97,0.0874,0.0548
98,0.0882,0.0548
99,0.0891,0.0548
100,0.0870,0.0548
101,0.0899,0.0548
102,0.0886,0.0548
103,0.0891,0.0548
104,0.0885,0.0548
105,0.0889,0.0548
106,0.0876,0.0548
107,0.0893,0.0548
108,0.0896,0.0548
109,0.0919,0.0548
110,0.0889,0.0548
111,0.0871,0.0548
112,0.0876,0.0548
113,0.0888,0.0548
114,0.0880,0.0548
115,0.0882,0.0548
116,0.0892,0.0548
117,0.0897,0.0548
118,0.0882,0.0548
119,0.0908,0.0548
120,0.0893,0.0548
121,0.0915,0.0548
122,0.0893,0.0548
123,0.0890,0.0548
124,0.0877,0.0548
125,0.0878,0.0548
126,0.0897,0.0548
127,0.0899,0.0548
128,0.0896,0.0548
129,0.0888,0.0548
130,0.0877,0.0548
