epoch,train_loss,val_loss
1,40.1004,39.6690
2,39.9889,39.7939
3,39.9656,39.6805
4,39.9401,39.7999
5,39.8478,39.6203
6,39.8473,39.5995
7,39.8419,39.5616
8,39.8343,39.6323
9,39.7882,39.5654
10,39.7609,39.4724
11,39.7186,39.5174
12,39.7283,39.3801
13,39.7497,39.5093
14,39.7521,39.4695
15,39.7006,39.4716
16,39.6740,39.4812
17,39.6997,39.4490
18,39.7482,39.3484
19,39.6372,39.2579
20,39.6037,39.2565
21,39.6575,39.3301
22,39.5538,39.4726
23,39.6343,39.3277
24,39.5917,39.2040
25,39.5908,39.1413
26,39.6306,39.6234
27,39.5579,39.2126
28,39.6348,39.3529
29,39.4984,39.0942
30,39.6216,39.0937
31,39.5227,39.4459
32,39.5575,39.2825
33,39.5659,39.4027
34,39.4257,39.2209
35,39.4873,39.4186
36,39.3853,39.4060
37,39.4871,39.2196
38,39.4973,39.5784
39,39.4606,39.3353
40,39.4483,39.7613
41,39.3504,39.3464
42,39.4579,39.0872
43,39.3416,39.2691
44,39.2559,39.4856
45,39.4035,39.2164
46,39.2578,39.3971
47,39.3163,39.6237
48,39.3887,39.6438
49,39.2611,39.4845
50,39.1920,39.3781
51,39.3397,39.5467
52,39.1982,39.4173
53,39.2516,39.2910
54,39.1433,39.5039
55,39.2800,39.7295
56,39.0809,39.7480
57,39.1428,40.0738
58,39.0981,39.6721
59,39.1237,39.8910
60,39.0533,40.5055
61,39.0051,39.6770
62,39.1687,39.5000
63,39.0610,39.4327
64,39.1238,39.4064
65,39.0693,40.3644
66,39.0691,39.4686
67,38.9831,39.3131
68,39.0801,40.1068
69,38.9973,39.6247
70,38.9901,39.4414
71,38.9439,39.9893
72,38.8722,40.1920
73,38.9305,39.5624
74,38.9601,39.4906
75,38.8595,39.4901
76,38.9826,39.9477
77,38.9578,39.4964
78,38.9088,38.9526
79,38.9088,39.9638
80,38.7960,39.0380
81,38.8524,39.5129
82,38.9763,40.6049
83,38.7409,39.7125
84,38.7781,39.8874
85,38.8479,39.3786
86,38.8305,40.0169
87,38.7426,39.9044
88,38.6528,41.2276
89,38.7670,40.0990
90,38.7041,40.1937
91,38.7197,39.7682
92,38.7251,40.6858
93,38.7399,40.1145
94,38.5986,40.2522
95,38.7349,40.2697
96,38.7344,40.3486
97,38.6916,40.0986
98,38.7496,39.7505
99,38.6110,39.7628
100,38.4734,39.9853
101,38.5738,40.0813
102,38.6090,40.3954
103,38.5927,39.4258
104,38.6457,40.0768
105,38.7069,39.9787
106,38.7033,39.7431
107,38.5818,39.8547
108,38.6634,39.7515
109,38.5158,40.0358
110,38.5386,40.1980
111,38.6875,40.0164
112,38.6424,40.8646
113,38.6450,40.5342
114,38.5667,40.5875
115,38.6143,40.3992
116,38.3343,40.1834
117,38.5666,40.9902
118,38.4511,39.8803
119,38.5544,40.4735
120,38.4007,40.3383
121,38.4224,39.2324
122,38.4641,39.8568
123,38.4165,40.2341
124,38.4624,39.5476
125,38.4050,40.1897
126,38.4097,40.4499
127,38.4800,41.0115
128,38.4172,40.2221
